"generic_names","rxnorm1","rxnorm_str1","rxnorm2","rxnorm_str2"
"palivizumab",194279,"palivizumab",194279,"palivizumab"
"voretigene neparvovec ophthalmic",NA,NA,NA,NA
"prothrombin complex",NA,NA,NA,NA
"coagulation factor xa",NA,NA,NA,NA
"idarucizumab",1716191,"idarucizumab",1716191,"idarucizumab"
"neostigmine injection",NA,NA,NA,NA
"sugammadex",1726988,"sugammadex",1726988,"sugammadex"
"sulfadiazine",10171,"sulfadiazine",10171,"sulfadiazine"
"brompheniramine and phenylephrine",NA,NA,214324,"brompheniramine / phenylephrine"
"chlorpheniramine, methscopolamine, and phenylephrine",NA,NA,NA,NA
"brompheniramine and phenylephrine liquid",NA,NA,NA,NA
"brompheniramine and phenylephrine suspension",NA,NA,NA,NA
"brompheniramine and phenylephrine tablets",NA,NA,NA,NA
"ipratropium nasal",NA,NA,NA,NA
"acetaminophen, chlorpheniramine, dextromethorphan, phenylephrine liquid",NA,NA,NA,NA
"brompheniramine and codeine",NA,NA,823181,"brompheniramine / codeine"
"chlophedianol and dexbrompheniramine",NA,NA,1551285,"chlophedianol / dexbrompheniramine"
"dextromethorphan and pyrilamine",NA,NA,1423306,"dextromethorphan / pyrilamine"
"acetaminophen/chlorpheniramine/dextromethorphan/phenylephrine caps &amp; tabs",NA,NA,NA,NA
"crotamiton topical",NA,NA,NA,NA
"cariprazine",1667655,"cariprazine",1667655,"cariprazine"
"ascorbic acid injection",NA,NA,NA,NA
"ascorbic acid solution, liquid, and syrup",NA,NA,NA,NA
"ascorbic acid controlled-release caps &amp; controlled-release tabs",NA,NA,NA,NA
"bupropion extended-release tablets",NA,NA,NA,NA
"olopatadine ophthalmic",NA,NA,NA,NA
"sulfacetamide sodium topical",NA,NA,NA,NA
"coal tar topical",NA,NA,NA,NA
"hydrogen peroxide solution",NA,NA,NA,NA
"paricalcitol",73710,"paricalcitol",73710,"paricalcitol"
"doxercalciferol",11516,"doxercalciferol",11516,"doxercalciferol"
"dexmedetomidine",48937,"dexmedetomidine",48937,"dexmedetomidine"
"amobarbital",719,"amobarbital",719,"amobarbital"
"pentobarbital",8004,"pentobarbital",8004,"pentobarbital"
"chloral hydrate capsules",NA,NA,NA,NA
"vigabatrin",14851,"vigabatrin",14851,"vigabatrin"
"lacosamide",623400,"lacosamide",623400,"lacosamide"
"diazepam rectal gel",NA,NA,NA,NA
"eslicarbazepine",1482502,"eslicarbazepine",1482502,"eslicarbazepine"
"ethosuximide",4135,"ethosuximide",4135,"ethosuximide"
"tiagabine",31914,"tiagabine",31914,"tiagabine"
"diazepam rectal",NA,NA,NA,NA
"dobutamine",3616,"dobutamine",3616,"dobutamine"
"glutamine",4885,"glutamine",4885,"glutamine"
"teduglutide",1364468,"teduglutide",1364468,"teduglutide"
"demeclocycline",3154,"demeclocycline",3154,"demeclocycline"
"glutamine powder",NA,NA,NA,NA
"crizanlizumab",2262279,"crizanlizumab",2262279,"crizanlizumab"
"voxelotor",2265678,"voxelotor",2265678,"voxelotor"
"ibuprofen and pseudoephedrine",NA,NA,214652,"ibuprofen / pseudoephedrine"
"acetaminophen and phenylephrine",NA,NA,214186,"acetaminophen / phenylephrine"
"acetaminophen, chlorpheniramine, and phenylephrine tablets",NA,NA,NA,NA
"acetaminophen and pseudoephedrine",NA,NA,214187,"acetaminophen / pseudoephedrine"
"dexbrompheniramine and pseudoephedrine",NA,NA,400674,"dexbrompheniramine / pseudoephedrine"
"acetaminophen and phenylephrine capsules",NA,NA,NA,NA
"cevimeline",44281,"cevimeline",44281,"cevimeline"
"chlorhexidine topical",NA,NA,NA,NA
"chlorhexidine",2358,"chlorhexidine",2358,"chlorhexidine"
"diflorasone topical",NA,NA,NA,NA
"prednicarbate",34369,"prednicarbate",34369,"prednicarbate"
"durvalumab",1919503,"durvalumab",1919503,"durvalumab"
"tecovirimat",2055104,"tecovirimat",2055104,"tecovirimat"
"varenicline",591622,"varenicline",591622,"varenicline"
"nicotine",7407,"nicotine",7407,"nicotine"
"nicotine lozenges",NA,NA,NA,NA
"trabectedin",1716278,"trabectedin",1716278,"trabectedin"
"olaratumab",1855735,"olaratumab",1855735,"olaratumab"
"larotrectinib",2105628,"larotrectinib",2105628,"larotrectinib"
"entrectinib",2197862,"entrectinib",2197862,"entrectinib"
"benzocaine and menthol lozenges",NA,NA,NA,NA
"phenol oral spray and rinse",NA,NA,NA,NA
"phenol topical solution",NA,NA,NA,NA
"menthol topical",NA,NA,NA,NA
"benzocaine orally disintegrating tablets",NA,NA,NA,NA
"dyclonine",23744,"dyclonine",23744,"dyclonine"
"menthol lozenges",NA,NA,NA,NA
"phenol",33290,"phenol",33290,"phenol"
"benzocaine, butamben, and tetracaine",NA,NA,NA,NA
"nusinersen",1863556,"nusinersen",1863556,"nusinersen"
"onasemnogene abeparvovec",2170226,"onasemnogene abeparvovec",2170226,"onasemnogene abeparvovec"
"onasemnogene abeparvovcec infusion",NA,NA,NA,NA
"cemiplimab",2058826,"cemiplimab",2058826,"cemiplimab"
"cemiplimab-rwlc",NA,NA,NA,NA
"fosphenytoin",72236,"fosphenytoin",72236,"fosphenytoin"
"gemifloxacin",138099,"gemifloxacin",138099,"gemifloxacin"
"penicillin g benzathine and penicillin g procaine",NA,NA,466553,"penicillin g benzathine / penicillin g procaine"
"aluminum hydroxide and magnesium hydroxide chewable tablets",NA,NA,NA,NA
"deoxycholic acid&gt;",NA,NA,NA,NA
"deoxycholic acid",NA,NA,NA,NA
"sacrosidase",214817,"sacrosidase",214817,"sacrosidase"
"benzocaine topical spray",NA,NA,NA,NA
"bacitracin topical",NA,NA,NA,NA
"lidocaine and benzalkonium",NA,NA,NA,NA
"bacitracin and polymyxin b",NA,NA,645555,"bacitracin / polymyxin b"
"bacitracin, neomycin, polymyxin b, and pramoxine",NA,NA,NA,NA
"fluocinolone and neomycin topical",NA,NA,NA,NA
"neomycin, polymyxin, and pramoxine cream",NA,NA,NA,NA
"belimumab",1092437,"belimumab",1092437,"belimumab"
"valbenazine",1918219,"valbenazine",1918219,"valbenazine"
"apomorphine",1043,"apomorphine",1043,"apomorphine"
"pexidartinib",2183102,"pexidartinib",2183102,"pexidartinib"
"tetanus immune globulin",1727875,"tetanus immune globulin",1727875,"tetanus immune globulin"
"avatrombopag",2045726,"avatrombopag",2045726,"avatrombopag"
"lusutrombopag",2054984,"lusutrombopag",2054984,"lusutrombopag"
"caplacizumab",2110605,"caplacizumab",2110605,"caplacizumab"
"argatroban",15202,"argatroban",15202,"argatroban"
"vandetanib",1098413,"vandetanib",1098413,"vandetanib"
"teprotumumab",2274803,"teprotumumab",2274803,"teprotumumab"
"betamethasone and clotrimazole topical",NA,NA,NA,NA
"tolnaftate topical",NA,NA,NA,NA
"terbinafine topical",NA,NA,NA,NA
"naftifine topical",NA,NA,NA,NA
"oxiconazole topical",NA,NA,NA,NA
"clioquinol",5942,"clioquinol",5942,"clioquinol"
"luliconazole topical",NA,NA,NA,NA
"tolnaftate",10637,"tolnaftate",10637,"tolnaftate"
"sertaconazole topical",NA,NA,NA,NA
"cefaclor",2176,"cefaclor",2176,"cefaclor"
"povidone-iodine",8611,"povidone-iodine",8611,"povidone-iodine"
"iodine",5933,"iodine",5933,"iodine"
"silver nitrate topical",NA,NA,NA,NA
"isopropyl alcohol",797541,"isopropyl alcohol",797541,"isopropyl alcohol"
"sodium hypochlorite topical",NA,NA,NA,NA
"benzalkonium chloride",NA,NA,NA,NA
"ethanol topical",NA,NA,NA,NA
"sodium hypochlorite",NA,NA,NA,NA
"fat emulsion",NA,NA,NA,NA
"total parenteral nutrition",NA,NA,NA,NA
"amino acid injection",NA,NA,NA,NA
"cysteine",3024,"cysteine",3024,"cysteine"
"pimozide",8331,"pimozide",8331,"pimozide"
"rifamycin",NA,NA,35616,"rifamycin sv"
"rifamycin",NA,NA,9385,"rifamycins"
"benznidazole",18994,"benznidazole",18994,"benznidazole"
"isoniazid, pyrazinamide, and rifampin",NA,NA,NA,NA
"pyrazinamide",8987,"pyrazinamide",8987,"pyrazinamide"
"isoniazid and rifampin",NA,NA,106876,"isoniazid / rifampin"
"rifapentine",35617,"rifapentine",35617,"rifapentine"
"cycloserine",3007,"cycloserine",3007,"cycloserine"
"bcg intravesical",NA,NA,NA,NA
"bcg vaccine",NA,NA,NA,NA
"bedaquiline",1364504,"bedaquiline",1364504,"bedaquiline"
"aminosalicylic acid",7833,"aminosalicylic acid",7833,"aminosalicylic acid"
"pretomanid",2198359,"pretomanid",2198359,"pretomanid"
"typhoid vaccine, oral",NA,NA,NA,NA
"typhoid vaccine, injection",NA,NA,NA,NA
"balsalazide",18747,"balsalazide",18747,"balsalazide"
"olsalazine",32385,"olsalazine",32385,"olsalazine"
"infliximab-qbtx",NA,NA,NA,NA
"infliximab-axxq",NA,NA,NA,NA
"glycerol phenylbutyrate",1368451,"glycerol phenylbutyrate",1368451,"glycerol phenylbutyrate"
"sodium phenylbutyrate",NA,NA,NA,NA
"potassium phosphate tablets",NA,NA,NA,NA
"mirabegron",1300786,"mirabegron",1300786,"mirabegron"
"tolterodine",119565,"tolterodine",119565,"tolterodine"
"fesoterodine",797195,"fesoterodine",797195,"fesoterodine"
"hyoscyamine, methenamine, methylene blue, phenyl salicylate, sodium biphosphate",NA,NA,NA,NA
"bcg",NA,NA,NA,NA
"valrubicin",31435,"valrubicin",31435,"valrubicin"
"enfortumab vedotin",NA,NA,NA,NA
"ulipristal",1005921,"ulipristal",1005921,"ulipristal"
"clotrimazole vaginal",NA,NA,NA,NA
"terconazole vaginal",NA,NA,NA,NA
"terconazole vaginal cream",NA,NA,NA,NA
"boric acid",1700,"boric acid",1700,"boric acid"
"butoconazole vaginal",NA,NA,NA,NA
"tioconazole vaginal",NA,NA,NA,NA
"hydroxyquinoline",NA,NA,110,"oxyquinoline"
"varicella virus vaccine",NA,NA,NA,NA
"varicella zoster immune globulin",NA,NA,39385,"varicella-zoster immune globulin"
"laureth-9",NA,NA,968170,"polidocanol"
"sodium tetradecyl sulfate",9913,"sodium tetradecyl sulfate",9913,"sodium tetradecyl sulfate"
"papaverine",7895,"papaverine",7895,"papaverine"
"antivenom",NA,NA,NA,NA
"antivenin polyvalent pol ee vay lent",NA,NA,NA,NA
"antivenin polyvalent",NA,NA,NA,NA
"antivenin",NA,NA,NA,NA
"betrixaban",1927851,"betrixaban",1927851,"betrixaban"
"dextran 40",3272,"dextran 40",3272,"dextran 40"
"sotalol tablets",NA,NA,NA,NA
"vitamin a",11246,"vitamin a",11246,"vitamin a"
"beta carotene",19143,"beta carotene",19143,"beta carotene"
"beta-carotene",NA,NA,19143,"beta carotene"
"cholecalciferol orally disintegrating tablets",NA,NA,NA,NA
"cholecalciferol drops",NA,NA,NA,NA
"cholecalciferol wafer",NA,NA,NA,NA
"prenatal multivitamins",NA,NA,NA,NA
"prenatal vitamin chewable tablet without vitamin a",NA,NA,NA,NA
"multivitamins and minerals",NA,NA,NA,NA
"chromium picolinate",59308,"chromium picolinate",59308,"chromium picolinate"
"selenium",9641,"selenium",9641,"selenium"
"zinc sulfate",39954,"zinc sulfate",39954,"zinc sulfate"
"ocriplasmin ophthalmic",NA,NA,NA,NA
"von willebrand factor",11274,"von willebrand factor",11274,"von willebrand factor"
"desipramine",3247,"desipramine",3247,"desipramine"
"salicylic acid",9525,"salicylic acid",9525,"salicylic acid"
"cantharidin",1984,"cantharidin",1984,"cantharidin"
"salicylic acid gel, liquid, and solution",NA,NA,NA,NA
"salicylic acid pads and plaster",NA,NA,NA,NA
"trientine",10798,"trientine",10798,"trientine"
"zinc acetate",58295,"zinc acetate",58295,"zinc acetate"
"burosumab",2043855,"burosumab",2043855,"burosumab"
"glycerin liquid and spray",NA,NA,NA,NA
"yellow fever vaccine",NA,NA,804187,"yellow-fever virus vaccine, 17d-204 strain"
